Time (us),Pore Radius (nm)
7.082741976042397766e-04,0.000000000000000000e+00
6.254061164845436949e-01,7.694527746502649590e-01
1.250103958771483281e+00,4.886681432303383588e+00
1.874801801058422646e+00,6.604158374442451240e+00
2.499499643345362010e+00,7.107900265168558995e+00
3.124197485632301596e+00,6.953514824464982702e+00
3.748895327919241183e+00,7.630137260954364287e+00
4.373593170206181213e+00,7.971669384310733797e+00
4.998291012493119467e+00,8.311039853631372765e+00
5.622988854780059498e+00,8.614206235995450101e+00
6.247686697066999528e+00,9.125939139982074622e+00
6.872384539353937782e+00,9.276082175390788720e+00
7.497082381640877813e+00,9.589904913437496958e+00
8.121780223927817843e+00,9.843784300371863694e+00
8.746478066214757874e+00,9.943521237149219871e+00
9.371175908501696128e+00,1.034239179703304501e+01
9.995873750788634382e+00,1.056889439168886646e+01
1.062057159307557441e+01,1.079064359720995903e+01
1.124526943536251444e+01,1.087263362572561221e+01
1.186996727764945447e+01,1.117694715832481478e+01
1.249466511993639450e+01,1.148178932592172430e+01
1.311936296222333276e+01,1.177874460499568698e+01
1.374406080451027279e+01,1.182890272233857409e+01
1.436875864679721104e+01,1.215800314937073878e+01
1.499345648908415107e+01,1.237519934109595532e+01
1.561815433137108933e+01,1.265899875980978351e+01
1.624285217365802936e+01,1.276766168641742993e+01
1.686755001594496761e+01,1.279853878516479604e+01
1.749224785823190942e+01,1.279082649836313657e+01
1.811694570051884767e+01,1.289072633039099003e+01
1.874164354280578948e+01,1.292130935399317515e+01
1.936634138509272773e+01,1.298225926465434199e+01
1.999103922737966954e+01,1.307315133792810968e+01
2.061573706966660779e+01,1.326794827891582429e+01
2.124043491195354605e+01,1.332731299719104712e+01
2.186513275424048786e+01,1.341586754610991683e+01
2.248983059652742256e+01,1.340851033823766691e+01
2.311452843881436436e+01,1.357671748051874694e+01
2.373922628110130262e+01,1.395660923452362567e+01
2.436392412338824442e+01,1.392121326266123660e+01
2.498862196567518268e+01,1.405524374257294973e+01
2.561331980796212093e+01,1.416712804520944680e+01
2.623801765024906274e+01,1.423660922729671618e+01
2.686271549253600099e+01,1.431264895315604946e+01
2.748741333482294280e+01,1.424353870408926959e+01
2.811211117710988106e+01,1.416016117582074152e+01
2.873680901939681931e+01,1.447034996506566706e+01
2.936150686168376112e+01,1.450440590759135340e+01
2.998620470397069582e+01,1.468694348337746547e+01
3.061090254625764118e+01,1.466677371856219914e+01
3.123560038854457943e+01,1.465331178482287022e+01
3.186029823083152124e+01,1.465331178482287022e+01
3.248499607311845949e+01,1.482070711426090526e+01
3.310969391540540130e+01,1.481404761847904972e+01
3.373439175769232889e+01,1.503225332873124742e+01
3.435908959997927070e+01,1.515646192545584192e+01
3.498378744226621251e+01,1.516947735243606488e+01
3.560848528455315432e+01,1.520196716766503187e+01
3.623318312684008902e+01,1.541468258068756114e+01
3.685788096912703082e+01,1.577534573121221051e+01
3.748257881141397263e+01,1.576908939714453872e+01
3.810727665370090733e+01,1.601743679184332692e+01
3.873197449598784914e+01,1.622554366427893058e+01
3.935667233827479095e+01,1.651487778822761854e+01
3.998137018056173275e+01,1.668133864640322983e+01
4.060606802284866745e+01,1.684615474557555714e+01
4.123076586513560926e+01,1.714803956629170401e+01
4.185546370742255107e+01,1.724558650430505580e+01
4.248016154970948577e+01,1.745601034803232210e+01
4.310485939199642758e+01,1.768067867012382166e+01
4.372955723428336938e+01,1.780857956972897682e+01
4.435425507657031119e+01,1.813798935217760544e+01
4.497895291885724589e+01,1.835431171973681330e+01
4.560365076114418770e+01,1.842942468020133262e+01
4.622834860343112950e+01,1.843477818058446616e+01
4.685304644571806421e+01,1.865823819606746525e+01
4.747774428800500601e+01,1.873739951122556135e+01
4.810244213029194782e+01,1.882147127164876466e+01
4.872713997257888252e+01,1.887905343482635345e+01
4.935183781486581722e+01,1.891560536340303855e+01
4.997653565715275903e+01,1.907146302694608764e+01
5.000061697987131026e+01,1.907663635215366327e+01
