Time (us),Average Vm (V)
7.082741976042397766e-04,1.071683855670634532e-02
6.254061164845436949e-01,1.490748173649572461e+00
1.250103958771483281e+00,1.094791443718288626e+00
1.874801801058422646e+00,8.515746682766719422e-01
2.499499643345362010e+00,8.102204826586179021e-01
3.124197485632301596e+00,8.088601572443616661e-01
3.748895327919241183e+00,7.699185320569083002e-01
4.373593170206181213e+00,7.250866660608914493e-01
4.998291012493119467e+00,7.067690886863540189e-01
5.622988854780059498e+00,6.685466152399671680e-01
6.247686697066999528e+00,6.225406491048595115e-01
6.872384539353937782e+00,6.064217358649468537e-01
7.497082381640877813e+00,5.875696826730730793e-01
8.121780223927817843e+00,5.676048236237463129e-01
8.746478066214757874e+00,5.557486530493891408e-01
9.371175908501696128e+00,5.347673975228663945e-01
9.995873750788634382e+00,5.151308640056089239e-01
1.062057159307557441e+01,5.055648369747008930e-01
1.124526943536251444e+01,5.003281368724690203e-01
1.186996727764945447e+01,4.824686971338726371e-01
1.249466511993639450e+01,4.641340730216971244e-01
1.311936296222333276e+01,4.473117073418275691e-01
1.374406080451027279e+01,4.408255085892447411e-01
1.436875864679721104e+01,4.259813168745616996e-01
1.499345648908415107e+01,4.122354681090780737e-01
1.561815433137108933e+01,4.003794942063842455e-01
1.624285217365802936e+01,3.957387832418143292e-01
1.686755001594496761e+01,3.927961286178316413e-01
1.749224785823190942e+01,3.942725663352617538e-01
1.811694570051884767e+01,3.888419886191555319e-01
1.874164354280578948e+01,3.875378994227451357e-01
1.936634138509272773e+01,3.834496883686094315e-01
1.999103922737966954e+01,3.786121315348274230e-01
2.061573706966660779e+01,3.703953245458706522e-01
2.124043491195354605e+01,3.683607509140562897e-01
2.186513275424048786e+01,3.660470036612317735e-01
2.248983059652742256e+01,3.655951844307987475e-01
2.311452843881436436e+01,3.570771850130796121e-01
2.373922628110130262e+01,3.451926722295300953e-01
2.436392412338824442e+01,3.445558870566659548e-01
2.498862196567518268e+01,3.396208264985736691e-01
2.561331980796212093e+01,3.351125922941345925e-01
2.623801765024906274e+01,3.347763738908995368e-01
2.686271549253600099e+01,3.317444288490439264e-01
2.748741333482294280e+01,3.332698129651484598e-01
2.811211117710988106e+01,3.345246924410344436e-01
2.873680901939681931e+01,3.259312275673488246e-01
2.936150686168376112e+01,3.224951969534612384e-01
2.998620470397069582e+01,3.176524817395628975e-01
3.061090254625764118e+01,3.147112417120316863e-01
3.123560038854457943e+01,3.189814616433744865e-01
3.186029823083152124e+01,3.154265548435160604e-01
3.248499607311845949e+01,3.119024473009511800e-01
3.310969391540540130e+01,3.124191513296931122e-01
3.373439175769232889e+01,3.037788550031773616e-01
3.435908959997927070e+01,2.994837046576492856e-01
3.498378744226621251e+01,3.002906938171711060e-01
3.560848528455315432e+01,2.993699655494740375e-01
3.623318312684008902e+01,2.928061981435365890e-01
3.685788096912703082e+01,2.811717792941832994e-01
3.748257881141397263e+01,2.803187115083388692e-01
3.810727665370090733e+01,2.730239958860195548e-01
3.873197449598784914e+01,2.669640198900208317e-01
3.935667233827479095e+01,2.586187233389495299e-01
3.998137018056173275e+01,2.543116353565765264e-01
4.060606802284866745e+01,2.498018008886219721e-01
4.123076586513560926e+01,2.414849061305859856e-01
4.185546370742255107e+01,2.385072349303766770e-01
4.248016154970948577e+01,2.346134971075187758e-01
4.310485939199642758e+01,2.299654830643690917e-01
4.372955723428336938e+01,2.258291122828390285e-01
4.435425507657031119e+01,2.190300124622727163e-01
4.497895291885724589e+01,2.136208292568643752e-01
4.560365076114418770e+01,2.119961868741813693e-01
4.622834860343112950e+01,2.114026894281773039e-01
4.685304644571806421e+01,2.065267687026158261e-01
4.747774428800500601e+01,2.056956869623058071e-01
4.810244213029194782e+01,2.032829134264796944e-01
4.872713997257888252e+01,2.027951446376835554e-01
4.935183781486581722e+01,2.022240659764440729e-01
4.997653565715275903e+01,1.986346627796567732e-01
5.000061697987131026e+01,1.984742899691631646e-01
